_id,_updated_at,_created_at,bankNameCode,bankName,bankCode,bankNameHiragana,addedFirstSearchChar
107YcKD637,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｹﾈﾍﾞﾂﾉｳｷﾖｳ,計根別農業協同組合,3350,けねべつのうきよう,
44v7iYFmsG,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾊﾅﾏｷｼﾝｷﾝ,花巻信用金庫,1155,はなまきしんきん,
1v54IOhXS7,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾋﾞｾﾞﾝｼﾝｷﾝ,備前信用金庫,1743,ひ_びぜんしんきん,true
0j0vhb7rUO,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｵｵﾌﾅﾄｼﾉｳｷﾖｳ,大船渡市農業協同組合,3598,おおふなとしのうきよう,
25uQ3ZsSTW,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾆｲｶﾞﾀｲﾜﾌﾈﾉｳｷﾖｳ,にいがた岩船農業協同組合,5823,にいがたいわふねのうきよう,
2ikS190pes,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾌﾙｶﾜﾉｳｷﾖｳ,古川農業協同組合,3704,ふるかわのうきよう,
2QrDhXskfC,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｼﾝｼﾕｳｳｴﾀﾞﾉｳｷﾖｳ,信州うえだ農業協同組合,5348,しんしゆううえだのうきよう,
4gqRWh4oVD,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｼｽﾞｵｶｼﾝｷﾝ,静岡信用金庫,1501,しずおかしんきん,
4cbBlmtPN3,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｶｺﾞｼﾏｲｽﾞﾐﾉｳｷﾖｳ,鹿児島いずみ農業協同組合,9302,かごしまいずみのうきよう,
3Xg0zlY22G,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾐﾔｷﾞﾀﾞｲｲﾁｼﾝｷﾝ,宮城第一信用金庫,1171,みやぎだいいちしんきん,
3seEFZcLGq,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾅｽﾉﾉｳｷﾖｳ,那須野農業協同組合,4507,なすののうきよう,
2nFM16kWIc,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾁﾊﾞｺｳｷﾞﾖｳ,千葉興業銀行,135,ちばこうぎよう,
1jN5W3R6uU,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾋﾗｶﾀｼﾝｷﾝ,枚方信用金庫,1656,ひらかたしんきん,
4qRKSIsQ9F,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾏｼﾕｳｺﾉｳｷﾖｳ,摩周湖農業協同組合,3337,ましゆうこのうきよう,
3PXrvai10R,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｺﾄｳﾉｳｷﾖｳ,湖東農業協同組合,6911,ことうのうきよう,
2sBOzYJtC7,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾄｳﾖｸｼﾝｸﾐ,東浴信用組合,2210,とうよくしんくみ,
2BcjD8v5Ea,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｲﾝﾄﾞ,印度銀行,424,いんど,
42NbwX463h,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｵｵｲﾀ,大分銀行,183,おおいた,
